"109年11月 00738U 期元大道瓊白銀   各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/11/02","2,441,300","61,533,488","24.88","25.46","24.83","25.38","+0.55","885",
"109/11/03","4,204,000","107,205,310","25.51","25.62","25.40","25.58","+0.20","572",
"109/11/04","4,034,012","102,246,236","25.62","25.70","24.65","25.26","-0.32","871",
"109/11/05","1,575,000","40,173,020","25.42","25.60","25.33","25.49","+0.23","356",
"109/11/06","6,377,380","169,836,156","26.55","26.90","26.40","26.76","+1.27","1,721",
"109/11/09","4,519,570","123,587,528","27.31","27.48","27.20","27.46","+0.70","1,247",
"109/11/10","7,027,840","180,463,046","25.88","25.90","25.50","25.71","-1.75","2,038",
"109/11/11","2,379,300","61,352,879","25.71","25.88","25.70","25.84","+0.13","589",
"109/11/12","2,011,000","51,576,910","25.64","25.76","25.54","25.75","-0.09","439",
"109/11/13","1,223,340","31,413,786","25.72","25.79","25.60","25.67","-0.08","405",
"109/11/16","2,059,109","54,327,675","26.17","26.49","26.10","26.45","+0.78","742",
"109/11/17","1,977,320","51,731,781","26.24","26.24","26.10","26.12","-0.33","705",
"109/11/18","1,714,070","44,255,848","25.90","25.92","25.72","25.90","-0.22","525",
"109/11/19","2,703,500","69,205,095","25.67","25.74","25.51","25.55","-0.35","775",
"109/11/20","1,303,197","33,203,005","25.39","25.60","25.35","25.55"," 0.00","502",
"109/11/23","1,498,000","38,466,990","25.63","25.76","25.59","25.65","+0.10","336",
"109/11/24","6,070,561","149,989,214","24.91","24.92","24.56","24.69","-0.96","1,861",
"109/11/25","3,893,760","95,712,164","24.50","24.70","24.48","24.48","-0.21","1,038",
"109/11/26","1,859,420","45,903,574","24.59","24.73","24.59","24.70","+0.22","442",
"109/11/27","3,105,505","76,030,492","24.56","24.58","24.40","24.44","-0.26","830",
"109/11/30","9,491,665","222,385,678","23.71","23.76","23.05","23.14","-1.30","2,519",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

